Latitude,Longitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
69.4,136.9,0,0,0,0,0,107329,29032584,76150160,107329,0,0,0
69.4,137.1,0,0,0,0,0,0,0,40946140,214658,0,0,0
69.4,137.9,0,0,0,0,0,268323,21895184,0,0,0,0,0
69.4,138.1,0,0,0,0,0,751305,19480274,0,0,0,0,0
69.4,138.4,0,0,0,0,0,107329,804970,0,0,0,0,0
69.4,139.4,0,0,0,0,0,3112550,8479017,0,0,0,0,0
69.4,139.6,0,0,0,0,0,107329,1073293,0,0,0,0,0
69.4,140.1,0,0,0,0,0,0,1502610,7620382,1985592,0,0,0
69.4,140.4,0,0,0,0,0,1824598,67563816,90639624,49156836,0,0,0
69.4,140.6,0,0,0,0,0,2307580,81087310,71105690,32950106,0,0,0
69.4,140.9,0,0,0,0,0,160994,2897892,27690968,1609940,0,0,0
69.1,110.1,0,0,0,0,0,0,0,1126958,53664,0,0,0
69.1,110.4,0,0,0,0,0,0,0,2307580,0,0,0,0
69.1,110.6,0,0,0,0,0,0,0,268323,0,0,0,0
69.1,123.6,0,0,0,0,0,268323,321988,0,0,0,0,0
69.1,123.9,0,0,0,0,0,0,2253916,0,0,0,0,0
69.1,126.9,0,0,0,0,0,0,858634,2897892,0,0,0,0
69.1,131.6,0,0,0,0,0,2522239,6600754,0,0,0,0,0
69.1,131.9,0,0,0,0,0,0,53664,0,0,0,0,0
69.1,132.6,0,0,0,0,0,214658,965964,0,0,0,0,0
69.1,133.6,0,0,0,0,0,0,3327209,0,0,0,0,0
69.1,134.1,0,0,0,0,0,13147843,8532682,56079576,0,0,0,0
69.1,134.4,0,0,0,0,24041772,27905628,3756526,24310094,0,0,0,0
69.1,134.6,0,0,0,0,160994,107329,107329,8908334,0,0,0,0
69.1,134.9,0,0,0,0,0,23344130,58226164,12718526,0,0,0,0
69.1,135.1,0,0,0,0,0,3380874,45668630,53396344,0,0,0,0
69.1,135.4,0,0,0,0,0,0,6922742,56777220,214658,0,0,0
69.1,135.6,0,0,0,0,0,0,3058886,60694740,0,0,0,0
69.1,135.9,0,0,0,0,0,0,21358536,35526010,107329,0,0,0
69.1,136.1,0,0,0,0,0,0,17494680,32413460,0,0,0,0
69.1,136.4,0,0,0,0,0,0,375652,1717269,0,0,0,0
69.1,137.9,0,0,0,0,0,4990814,53557336,53664,0,0,0,0
69.1,138.1,0,0,0,0,0,34989364,157935120,0,0,0,0,0
69.1,138.4,0,0,0,0,0,76740470,129600180,9981628,0,0,0,0
69.1,138.6,0,0,0,0,0,14650454,48834850,120584510,160994,0,0,0
69.1,138.9,0,0,0,0,0,0,1770934,164750530,0,0,0,0
69.1,139.1,0,0,0,0,0,0,107329,103197160,375652,0,0,0
69.1,139.4,0,0,0,0,0,0,0,12450203,107329,0,0,0
69.1,140.4,0,0,0,0,0,0,107329,24578418,12181879,0,0,0
69.1,140.6,0,0,0,0,0,0,0,5634790,21573196,0,0,0
69.1,140.9,0,0,0,0,0,0,0,0,2200251,0,0,0
69.1,150.6,0,0,0,0,0,12235544,3434538,321988,0,0,0,0
69.1,150.9,0,0,0,0,0,12235544,53664,0,0,0,0,0
69.1,163.9,0,0,0,0,0,2790562,4990814,0,0,0,0,0
69.1,164.1,0,0,0,0,0,804970,912299,0,0,0,0,0
68.9,110.1,0,0,0,0,0,0,0,2522239,268323,0,0,0
68.9,110.4,0,0,0,0,0,0,0,17494680,643976,0,0,0
68.9,122.4,0,0,0,0,0,0,0,321988,0,0,0,0
68.9,126.1,0,0,0,0,0,0,4883484,0,0,0,0,0
68.9,126.9,0,0,0,0,0,160994,0,0,0,0,0,0
68.9,127.1,0,0,0,0,0,2897892,0,0,0,0,0,0
68.9,127.4,0,0,0,0,0,0,214658,536646,0,0,0,0
68.9,127.6,0,0,0,0,0,0,0,53664,0,0,0,0
68.9,133.4,0,0,0,0,0,0,15240765,11108586,0,0,0,0
68.9,133.6,0,0,0,0,0,0,6439760,9605975,0,0,0,0
68.9,134.1,0,0,0,0,53664,0,0,0,0,0,0,0
68.9,134.4,0,0,0,0,16850704,536646,3219880,53664,0,0,0,0
68.9,134.6,0,0,0,0,0,0,15294430,17226358,0,0,0,0
68.9,135.1,0,0,0,0,0,13684490,3327209,7030071,0,0,0,0
68.9,135.4,0,0,0,0,0,16743376,71052020,68583450,0,0,0,0
68.9,135.6,0,0,0,0,0,53664,45131984,114574060,53664,0,0,0
68.9,135.9,0,0,0,0,0,268323,54898956,83555890,160994,0,0,0
68.9,136.1,0,0,0,0,0,0,53396344,112803140,0,0,0,0
